Graph,ILP,Ant Colony,Algorithm
graph_25,4.0,0.0,5.0
graph_50,4.0,0.0,4.0
graph_100,4.0,0.0,5.0
graph_150,4.0,0.0,5.0
graph_200,4.0,0.0,5.0
graph_250,4.0,0.0,5.0
graph_300,4.0,0.0,5.0
graph_350,4.0,0.0,5.0
graph_400,4.0,0.0,5.0
graph_450,4.0,0.0,5.0
graph_500,4.0,0.0,5.0
graph_550,4.0,0.0,5.0
graph_600,4.0,0.0,5.0
graph_650,4.0,0.0,5.0
graph_700,4.0,0.0,5.0
graph_750,4.0,0.0,5.0
graph_800,4.0,0.0,5.0
graph_850,4.0,0.0,5.0
graph_900,4.0,0.0,5.0
graph_950,4.0,0.0,5.0
graph_1000,4.0,0.0,5.0
graph_1500,4.0,0.0,5.0
graph_2000,4.0,0.0,5.0
graph_2500,4.0,0.0,5.0
graph_3000,4.0,0.0,5.0
graph_3500,4.0,0.0,5.0
graph_4000,4.0,0.0,5.0
graph_4500,4.0,0.0,5.0
graph_5000,4.0,0.0,5.0
graph_5500,4.0,0.0,5.0
graph_6000,4.0,0.0,5.0
graph_6500,4.0,0.0,5.0
graph_7000,4.0,0.0,5.0
graph_7500,4.0,0.0,5.0
graph_8000,4.0,0.0,5.0
graph_8500,4.0,0.0,5.0
graph_9000,4.0,0.0,5.0
graph_9500,4.0,0.0,5.0
graph_10000,4.0,0.0,5.0
