Graph,ILP,Ant Colony,Algorithm
graph_10,0.00148,0.00031,0.0001
graph_20,0.00055,0.00211,0.00018
graph_30,0.00074,0.02403,0.00418
graph_40,0.00271,0.16048,0.0074
graph_50,0.00122,0.70842,0.01321
graph_60,0.00157,2.6347,0.00054
graph_70,0.00183,11.03306,0.03146
graph_80,0.00196,31.06916,0.04563
graph_90,0.0028,58.96081,0.06534
graph_100,0.00291,85.02233,0.08748
graph_125,0.0041,0.0,0.18694
graph_150,0.00547,0.0,0.29442
graph_175,0.00518,0.0,0.85307
graph_200,0.00797,0.0,1.71068
graph_225,0.01092,0.0,0.0
graph_250,0.01229,0.0,0.0
graph_300,0.01801,0.0,0.0
graph_350,0.01646,0.0,0.0
graph_400,0.0208,0.0,0.0
graph_450,0.01992,0.0,0.0
graph_500,0.02924,0.0,0.0
graph_550,0.03579,0.0,0.0
graph_600,0.04039,0.0,0.0
graph_650,0.05942,0.0,0.0
graph_700,0.04382,0.0,0.0
graph_750,0.06176,0.0,0.0
graph_800,0.05909,0.0,0.0
graph_850,0.05844,0.0,0.0
graph_900,0.11543,0.0,0.0
graph_950,0.0976,0.0,0.0
graph_1000,0.10664,0.0,0.0
graph_1500,0.11174,0.0,0.0
graph_2000,0.17531,0.0,0.0
graph_2500,0.24342,0.0,0.0
graph_3000,0.38931,0.0,0.0
graph_3500,0.33581,0.0,0.0
graph_4000,0.49136,0.0,0.0
graph_4500,0.47466,0.0,0.0
graph_5000,0.80562,0.0,0.0
graph_5500,1.05344,0.0,0.0
graph_6000,1.26498,0.0,0.0
graph_6500,0.51913,0.0,0.0
graph_7000,22.50619,0.0,0.0
